"Date","Price","Open","High","Low","Vol.","Change %"
"03/28/2023","51.60","52.16","52.75","51.55","2.92M","-1.41%"
"03/27/2023","52.34","52.16","52.51","51.95","2.99M","0.58%"
"03/24/2023","52.04","51.40","52.17","51.14","2.69M","1.64%"
"03/23/2023","51.20","51.30","51.67","50.99","4.97M","0.06%"
"03/22/2023","51.17","51.92","52.15","51.14","2.80M","-1.41%"
"03/21/2023","51.90","52.38","52.45","51.52","3.47M","-0.71%"
"03/20/2023","52.27","51.77","52.29","51.45","5.00M","1.51%"
"03/17/2023","51.49","51.67","52.04","51.28","9.46M","-0.41%"
"03/16/2023","51.70","51.08","51.81","50.98","4.10M","1.04%"
"03/15/2023","51.17","50.59","51.47","50.42","5.18M","0.69%"
"03/14/2023","50.82","50.34","50.87","50.15","3.23M","1.32%"
"03/13/2023","50.16","49.97","51.14","49.76","3.85M","0.14%"
"03/10/2023","50.09","51.27","51.33","49.91","3.28M","-1.78%"
"03/09/2023","51.00","51.80","52.01","50.90","2.77M","-1.09%"
"03/08/2023","51.56","51.74","51.85","51.34","2.48M","-0.10%"
"03/07/2023","51.61","52.02","52.22","51.40","3.45M","-0.73%"
"03/06/2023","51.99","51.08","52.08","50.88","5.49M","1.92%"
"03/03/2023","51.01","51.10","51.15","50.48","3.82M","-0.14%"
"03/02/2023","51.08","49.38","51.40","49.27","5.59M","3.00%"
"03/01/2023","49.59","49.10","49.95","48.62","11.35M","-2.54%"
"02/28/2023","50.88","50.95","51.35","50.83","5.96M","-0.55%"
"02/27/2023","51.16","50.99","51.30","50.82","3.19M","1.07%"
"02/24/2023","50.62","50.83","50.83","50.10","4.19M","-1.40%"
"02/23/2023","51.34","51.30","51.52","50.77","3.45M","0.35%"
"02/22/2023","51.16","51.41","51.52","51.01","3.71M","-0.06%"
"02/21/2023","51.19","51.92","51.95","51.09","3.54M","-1.73%"
"02/17/2023","52.09","52.08","52.48","51.83","2.72M","0.13%"
"02/16/2023","52.02","51.97","52.73","51.70","4.25M","-1.01%"
"02/15/2023","52.55","52.09","52.56","51.80","3.83M","0.83%"
"02/14/2023","52.12","52.15","52.21","51.41","3.94M","0.02%"
"02/13/2023","52.11","51.70","52.12","51.52","2.21M","1.38%"
"02/10/2023","51.40","51.43","51.59","51.10","2.35M","-0.04%"
"02/09/2023","51.42","51.52","51.88","51.35","3.07M","0.72%"
"02/08/2023","51.05","51.28","51.35","50.92","3.24M","-0.41%"
"02/07/2023","51.26","51.07","51.59","50.79","4.25M","-0.29%"
"02/06/2023","51.41","50.91","51.63","50.88","2.85M","1.00%"
"02/03/2023","50.90","51.14","51.18","50.05","5.19M","-0.76%"
"02/02/2023","51.29","52.05","52.09","50.59","4.70M","-1.40%"
"02/01/2023","52.02","52.00","52.37","51.15","3.99M","-0.04%"
"01/31/2023","52.04","51.38","52.10","51.24","3.38M","1.66%"
"01/30/2023","51.19","50.98","51.60","50.98","3.32M","-0.41%"
"01/27/2023","51.40","51.66","51.99","51.29","3.15M","-1.06%"
"01/26/2023","51.95","51.77","52.12","51.49","3.76M","0.37%"
"01/25/2023","51.76","51.00","51.82","50.81","3.65M","0.49%"
"01/24/2023","51.51","50.09","51.55","50.00","4.13M","2.92%"
"01/23/2023","50.05","50.10","50.53","49.78","4.10M","0.10%"
"01/20/2023","50.00","49.67","50.05","49.30","4.92M","0.14%"
"01/19/2023","49.93","50.62","50.68","49.78","4.36M","-0.87%"
"01/18/2023","50.37","51.42","51.58","50.23","6.18M","-1.41%"
"01/17/2023","51.09","51.38","51.85","51.00","5.58M","0.10%"
"01/13/2023","51.04","49.77","51.09","49.77","4.00M","2.04%"
"01/12/2023","50.02","50.81","50.81","49.90","4.02M","-1.61%"
"01/11/2023","50.84","50.48","50.90","50.03","3.96M","1.13%"
"01/10/2023","50.27","50.54","51.10","50.15","4.98M","-0.61%"
"01/09/2023","50.58","51.13","51.54","50.44","3.60M","-1.25%"
"01/06/2023","51.22","50.60","51.57","50.51","3.88M","2.05%"
"01/05/2023","50.19","50.66","50.77","50.09","3.70M","-1.74%"
"01/04/2023","51.08","51.05","51.37","50.58","3.49M","0.83%"
"01/03/2023","50.66","50.88","51.15","50.16","3.01M","-0.22%"
"12/30/2022","50.77","50.91","50.91","50.34","2.29M","-0.47%"
"12/29/2022","51.01","50.81","51.35","50.74","2.21M","0.69%"
"12/28/2022","50.66","51.16","51.37","50.64","2.24M","-0.69%"
"12/27/2022","51.01","50.90","51.22","50.58","3.00M","0.75%"
"12/23/2022","50.63","50.73","50.76","50.23","1.43M","0.44%"
"12/22/2022","50.41","50.59","50.73","49.66","3.08M","-1.12%"
"12/21/2022","50.98","50.78","51.37","50.77","2.48M","0.79%"
"12/20/2022","50.58","50.25","50.80","50.10","3.05M","0.74%"
"12/19/2022","50.21","50.50","50.84","49.95","3.35M","-0.36%"
"12/16/2022","50.39","49.63","50.77","49.21","12.22M","1.12%"
"12/15/2022","49.83","50.37","50.56","49.56","3.93M","-2.20%"
"12/14/2022","50.95","50.21","51.38","50.08","5.54M","1.45%"
"12/13/2022","50.22","51.34","51.35","49.90","3.33M","-0.38%"
"12/12/2022","50.41","50.20","50.43","49.89","3.05M","0.78%"
"12/09/2022","50.02","50.51","50.60","49.98","2.73M","-1.48%"
"12/08/2022","50.77","50.52","50.88","50.37","2.15M","0.30%"
"12/07/2022","50.62","50.80","51.03","50.37","2.36M","-0.20%"
"12/06/2022","50.72","51.27","51.60","50.53","3.13M","-0.72%"
"12/05/2022","51.09","51.39","51.51","50.84","3.41M","-1.79%"
"12/02/2022","52.02","50.98","52.33","50.88","3.37M","0.77%"
"12/01/2022","51.62","51.38","51.66","51.03","4.23M","0.37%"
"11/30/2022","51.43","49.88","51.53","49.67","9.05M","3.07%"
"11/29/2022","49.90","50.72","50.84","49.66","4.70M","-2.04%"
"11/28/2022","50.94","51.87","52.24","50.84","4.00M","-1.45%"
"11/25/2022","51.69","51.95","51.98","51.65","1.74M","-0.54%"
"11/23/2022","51.97","51.86","52.21","51.73","3.95M","0.76%"
"11/22/2022","51.58","50.91","51.72","50.64","5.98M","2.04%"
"11/21/2022","50.55","50.00","50.69","49.84","5.10M","1.40%"
"11/18/2022","49.85","49.70","49.94","49.14","4.17M","0.75%"
"11/17/2022","49.48","48.97","49.72","48.75","3.58M","-0.22%"
"11/16/2022","49.59","49.40","49.71","49.28","4.65M","1.06%"
"11/15/2022","49.07","49.23","49.41","48.46","6.13M","1.26%"
"11/14/2022","48.46","49.26","49.30","48.38","3.51M","-1.22%"
"11/11/2022","49.06","49.50","49.66","48.11","5.39M","-1.19%"
"11/10/2022","49.65","49.35","49.77","48.49","6.66M","3.18%"
"11/09/2022","48.12","48.85","48.95","48.05","3.93M","-1.66%"
"11/08/2022","48.93","49.25","49.67","48.51","5.21M","-1.05%"
"11/07/2022","49.45","49.16","49.56","48.91","6.08M","0.98%"
"11/04/2022","48.97","48.90","50.23","47.63","12.37M","7.51%"
"11/03/2022","45.55","45.28","45.94","45.06","5.18M","-0.65%"
"11/02/2022","45.85","47.20","47.45","45.84","4.57M","-2.80%"
"11/01/2022","47.17","47.90","48.00","46.74","5.39M","0.66%"
"10/31/2022","46.86","46.47","47.12","46.24","5.90M","0.19%"
"10/28/2022","46.77","46.00","46.85","45.85","4.34M","1.96%"
"10/27/2022","45.87","46.12","46.30","45.77","4.96M","-0.30%"
"10/26/2022","46.01","45.90","46.52","45.76","5.02M","0.39%"
"10/25/2022","45.83","45.28","45.85","45.03","3.28M","1.73%"
"10/24/2022","45.05","44.28","45.09","43.92","4.30M","2.85%"
"10/21/2022","43.80","43.24","43.92","42.80","6.64M","0.67%"
"10/20/2022","43.51","44.02","44.48","43.49","4.41M","-1.38%"
"10/19/2022","44.12","45.05","45.16","44.02","4.42M","-2.48%"
"10/18/2022","45.24","45.46","46.22","44.73","4.38M","1.23%"
"10/17/2022","44.69","44.16","45.05","44.15","4.54M","2.27%"
"10/14/2022","43.70","45.69","45.69","43.63","7.40M","-2.98%"
"10/13/2022","45.04","43.88","45.40","42.88","8.06M","0.58%"
"10/12/2022","44.78","45.12","45.37","44.77","5.21M","0.11%"
"10/11/2022","44.73","45.30","45.51","44.69","7.95M","-1.71%"
"10/10/2022","45.51","45.33","45.70","44.99","4.28M","0.80%"
"10/07/2022","45.15","45.59","45.71","44.97","5.55M","-1.57%"
"10/06/2022","45.87","46.03","46.56","45.76","4.30M","-0.48%"
"10/05/2022","46.09","45.57","46.31","45.27","4.27M","0.57%"
"10/04/2022","45.83","45.08","45.87","45.07","4.77M","2.92%"
"10/03/2022","44.53","43.76","44.77","43.56","4.69M","2.41%"
"09/30/2022","43.48","44.23","44.52","43.41","5.92M","-1.20%"
"09/29/2022","44.01","44.58","44.97","43.54","5.92M","-1.54%"
"09/28/2022","44.70","43.88","44.99","43.59","5.68M","2.36%"
"09/27/2022","43.67","44.17","44.78","43.50","5.58M","-0.64%"
"09/26/2022","43.95","43.55","44.45","43.53","5.72M","0.92%"
"09/23/2022","43.55","43.23","43.59","43.08","4.09M","0.39%"
"09/22/2022","43.38","43.34","43.75","43.33","3.89M","-0.32%"
"09/21/2022","43.52","44.08","44.80","43.51","4.33M","-0.75%"
"09/20/2022","43.85","43.68","44.05","43.34","2.94M","-0.16%"
"09/19/2022","43.92","43.53","44.09","43.34","3.15M","0.69%"
"09/16/2022","43.62","43.62","43.82","43.22","8.57M","-0.16%"
"09/15/2022","43.69","44.30","44.73","43.55","4.03M","-1.75%"
"09/14/2022","44.47","44.77","45.00","43.99","4.39M","-0.67%"
"09/13/2022","44.77","45.98","46.24","44.62","5.61M","-4.30%"
"09/12/2022","46.78","46.62","47.12","46.31","5.50M","1.21%"
"09/09/2022","46.22","45.78","46.47","45.72","4.96M","1.12%"
"09/08/2022","45.71","45.24","45.73","44.74","4.46M","1.06%"
"09/07/2022","45.23","44.44","45.33","44.44","3.49M","2.10%"
"09/06/2022","44.30","44.68","45.34","44.20","4.91M","0.23%"
"09/02/2022","44.20","44.90","45.35","43.99","6.93M","-0.67%"
"09/01/2022","44.50","44.03","44.54","43.81","4.63M","0.20%"
"08/31/2022","44.41","44.55","44.83","44.19","6.57M","0.32%"
"08/30/2022","44.27","44.38","44.45","43.79","4.76M","-0.07%"
"08/29/2022","44.30","44.30","44.67","43.95","3.45M","-0.63%"
"08/26/2022","44.58","45.55","45.66","44.53","4.22M","-2.22%"
"08/25/2022","45.59","45.20","45.65","45.12","3.01M","0.82%"
"08/24/2022","45.22","45.00","45.33","44.88","2.71M","0.31%"
"08/23/2022","45.08","44.60","45.15","44.43","4.43M","0.63%"
"08/22/2022","44.80","45.01","45.19","44.69","4.02M","-1.10%"
"08/19/2022","45.30","45.38","45.69","45.14","3.82M","-0.72%"
"08/18/2022","45.63","45.77","46.09","45.52","3.33M","-0.28%"
"08/17/2022","45.76","45.88","46.05","45.56","2.52M","-0.82%"
"08/16/2022","46.14","45.78","46.38","45.51","3.05M","0.52%"
"08/15/2022","45.90","45.08","46.09","45.00","3.63M","1.98%"
"08/12/2022","45.01","44.69","45.07","44.48","5.93M","0.81%"
"08/11/2022","44.65","44.70","45.38","44.48","4.18M","-0.58%"
"08/10/2022","44.91","44.94","45.77","44.70","7.16M","1.13%"
"08/09/2022","44.41","44.39","44.49","43.68","12.43M","-0.69%"
