sym,name,years_in,sector,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MMM,3M,66,Industrials,25.200357142857143,31.19693548387097,34.83857142857143,40.18297619047619,48.67523809523809,47.16142857142857,47.71059760956175,53.370239043824704,46.51960474308301,43.09607142857143,57.86940476190476,61.416865079365074,64.9182,84.9648015873016,109.13416666666667,122.4202380952381,135.5970238095238,169.36454183266932,178.20820717131474,156.18805555555556,143.9890118577075,174.9575396825397,134.12083665338645,120.1905
AOS,A. O. Smith,6,Industrials,1.9655555555555555,2.016935483870968,3.1575,3.6567460317460316,3.558769841269841,3.7196825396825397,5.43597609561753,5.255298804780876,4.5675889328063235,4.681031746031746,7.2095634920634915,8.330674603174604,10.86168,17.960079365079363,21.6409126984127,30.35956349206349,38.260436507936504,49.987330677290835,53.18537848605578,45.09257936507937,45.60770750988142,66.99642857142857,60.58235059760956,60.371500000000005
ABT,Abbott,66,Health Care,11.124126984126985,13.576693548387096,12.654166666666667,11.67170634920635,12.824444444444445,14.371507936507935,14.646454183266933,18.137290836653385,18.835296442687746,17.0525,18.45420634920635,19.2675,24.51476,29.65980158730159,34.7652380952381,40.13063492063492,35.92912698412698,44.16067729083665,59.56274900398407,75.98206349206349,92.16280632411066,118.27654761904762,110.49796812749004,111.6425
ABBV,AbbVie,11,Health Care,,,,,,,,,,,,,,29.475079365079367,38.72103174603175,44.69539682539683,45.319563492063494,58.355258964143424,78.15338645418326,65.65369047619048,81.03592885375494,105.84571428571428,145.06282868525895,153.058
ACN,Accenture,12,Information Technology,,13.048468468468469,14.74702380952381,14.160714285714286,18.274484126984127,18.302857142857142,22.595059760956175,28.951235059760958,27.066561264822134,26.15809523809524,32.86825396825397,44.11031746031746,50.987199999999994,63.45920634920635,69.97801587301586,85.88297619047619,101.47523809523808,118.47772908366534,149.15326693227092,172.53630952380954,205.39766798418972,302.62400793650795,297.48458167330676,275.4665
ATVI,Activision Blizzard,8,Communication Services,0.8577777777777778,2.246451612903226,2.8879761904761905,2.0129761904761905,3.6771825396825397,5.999722222222222,6.148167330677291,8.841553784860558,12.636600790513834,9.890436507936508,10.088531746031746,10.659206349206348,10.9406,14.40436507936508,19.499285714285712,26.369999999999997,36.48261904761905,54.49756972111553,67.45501992031872,48.22095238095238,72.10019762845849,84.3913492063492,76.93247011952191,76.0045
ADM,ADM,66,Consumer Staples,6.0031349206349205,8.26108870967742,8.298968253968255,8.186309523809523,11.348492063492063,15.076349206349205,24.696733067729085,23.988804780876492,23.109604743083,19.986785714285716,21.171309523809523,22.82924603174603,21.7596,27.172896825396823,36.26464285714286,36.82690476190476,33.586349206349205,36.38386454183267,40.11529880478088,37.723412698412695,40.266363636363636,58.689325396825396,83.81689243027888,85.17150000000001
ADBE,Adobe Inc.,26,Information Technology,29.310634920634918,18.462620967741934,14.862063492063491,17.50547619047619,23.08654761904762,30.76547619047619,35.59649402390438,41.964820717131474,35.326837944664035,28.62607142857143,31.211904761904762,30.124880952380952,32.67008,46.8034126984127,67.45305555555555,80.96781746031746,97.32503968253968,143.99613545816732,235.0374501992032,279.3228174603175,415.97126482213434,560.6136507936509,396.1215139442231,349.5705
ADP,ADP,42,Industrials,27.215039682539683,26.555766129032257,22.912103174603175,18.00702380952381,21.813055555555557,22.72611111111111,24.282948207171316,27.37557768924303,24.72699604743083,23.897460317460318,27.623650793650793,33.982261904761906,38.45084,49.304365079365084,59.84083333333333,71.29472222222222,77.1448015873016,94.13470119521912,119.17179282868526,147.68567460317462,143.76375494071146,193.66944444444442,225.21382470119522,234.135
AAP,Advance Auto Parts,8,Consumer Discretionary,,12.997727272727273,15.163452380952382,18.373849206349206,23.902619047619048,34.15242063492063,33.151274900398406,33.817250996015936,32.389169960474305,36.78103174603174,48.085793650793654,58.03246031746032,70.68136,79.43341269841271,122.3452380952381,153.15178571428572,145.7356349206349,115.0601593625498,131.01266932270917,149.38892857142858,133.02209486166007,191.76928571428573,186.2219920318725,150.02550000000002
