sym,name,sector,lunes,martes,miercoles,jueves,viernes
MMM,3M,Industrials,87.4478145087236,87.71140218303947,87.51428691275167,87.63701964133219,87.55963058419245
AOS,A. O. Smith,Industrials,21.53356290174472,21.72229219143577,21.59698825503356,21.64136635354398,21.612568728522337
ABT,Abbott,Health Care,37.04502295684114,37.25874055415618,37.10952181208054,37.221451750640476,37.1276030927835
ABBV,AbbVie,Health Care,69.38646315789474,69.99822179732314,69.93184615384615,69.967578125,70.018031496063
ACN,Accenture,Information Technology,87.3984365781711,88.36800180018002,87.87781474820144,88.10460622710622,87.82891344383057
ATVI,Activision Blizzard,Communication Services,25.552681359044996,25.812535684298908,25.689345637583894,25.840435525192145,25.682439862542957
ADM,ADM,Consumer Staples,28.139540863177228,28.368942065491186,28.2725,28.28163962425278,28.275756013745706
ADBE,Adobe Inc.,Information Technology,117.55826446280992,118.5614105793451,117.85494127516779,118.25122971818958,117.64235395189004
ADP,ADP,Industrials,66.42766758494031,67.0144416456759,66.62729026845638,66.73107600341588,66.75419243986255
AAP,Advance Auto Parts,Consumer Discretionary,86.00871871871873,86.52360475754804,86.15380255941498,86.22693953488373,86.06115168539326
AES,AES Corporation,Utilities,13.14275482093664,13.211133501259445,13.173162751677852,13.21064901793339,13.223548109965636
AFL,Aflac,Financials,24.23741046831956,24.42151973131822,24.33476510067114,24.343057216054657,24.373616838487973
A,Agilent Technologies,Health Care,42.845252525252526,43.258807724601176,43.09464765100671,43.23690862510674,43.161649484536085
APD,Air Products and Chemicals,Materials,93.88868686868686,94.75831234256927,94.27473154362416,94.35935952177626,94.25155498281786
AKAM,Akamai,Information Technology,49.41939393939394,49.619277917716204,49.48775167785235,49.64395388556789,49.46819587628866
ALK,Alaska Air Group,Industrials,28.613994490358127,28.80065491183879,28.673733221476507,28.71085397096499,28.722173539518902
ALB,Albemarle Corporation,Materials,57.40820936639118,58.236330814441644,57.96918624161074,57.90958155422715,58.045189003436434
ARE,Alexandria Real Estate Equities,Real Estate,69.5971349862259,70.03929471032745,69.81625,69.94107600341589,69.79330756013746
ALGN,Align Technology,Health Care,106.83153994225216,107.87202464788732,107.08631161971832,107.6310394265233,107.0284851217313
ALLE,Allegion,Industrials,83.16364055299539,83.35464435146443,83.2881223628692,83.30528907922913,83.36125269978402
LNT,Alliant Energy,Utilities,21.06236914600551,21.203240973971454,21.10718120805369,21.15728437233134,21.14193298969072
ALL,Allstate,Financials,49.70325068870523,50.09680100755668,49.873187919463085,49.94722459436379,49.97557560137457
GOOGL,Alphabet Inc. (Class A),Communication Services,37.85559263521289,38.13294858342077,37.999213836477985,38.04715351812367,37.94820622986036
